,Sum
0,1.0
1,1.40055925
2,1.94133775
3,1.65652575
4,1.807673
5,1.823726
6,1.6226295
7,1.48259675
8,1.27230275
9,1.03334
10,0.82904375
11,0.63907625
12,0.47814525
13,0.351499
14,0.2516215
15,0.176267
16,0.121419
17,0.081955
18,0.054311
19,0.0355015
20,0.0226615
21,0.014228
22,0.00880625
23,0.00541025
24,0.0032115
25,0.001882
26,0.00106325
27,0.0005915
28,0.00032125
29,0.00017625
30,9.775e-05
31,5.35e-05
32,2.775e-05
33,1.375e-05
34,6.75e-06
35,4.5e-06
36,2.25e-06
37,1.25e-06
38,5e-07
39,2.5e-07
40,2.5e-07
41,2.5e-07
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
