,Sum
0,1.0
1,1.400247
2,1.93729775
3,1.64061475
4,1.77736775
5,1.77810675
6,1.567655
7,1.42453225
8,1.21889625
9,0.989912
10,0.79473225
11,0.613702
12,0.4603725
13,0.34021875
14,0.244397
15,0.17184225
16,0.11876175
17,0.0804465
18,0.05346775
19,0.03496425
20,0.022418
21,0.0140885
22,0.0087535
23,0.00529575
24,0.003191
25,0.00187975
26,0.00109175
27,0.000604
28,0.00034125
29,0.00017675
30,9.325e-05
31,5.05e-05
32,2.35e-05
33,1.45e-05
34,7.75e-06
35,5e-06
36,2e-06
37,1.25e-06
38,1e-06
39,7.5e-07
40,2.5e-07
41,2.5e-07
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
